,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender
647,,12,repaid,car (new),1386,730,3 years,2,,none,9 months,building society savings,26,none,own,1,1,1,,yes,skilled employee,female
648,389,24,repaid,car (new),947,25,5 years,4,single,none,4 years,unknown/none,38,bank,for free,1,1,2,,yes,skilled employee,male
649,-42,12,repaid,education,684,80,3 years,4,single,none,18 years,other,40,none,rent,1,1,2,,yes,unskilled resident,male
650,-9,48,repaid,education,7476,55,6 years,4,single,none,,unknown/none,50,none,for free,1,0,1,+2341629659,yes,mangement self-employed,male
651,180,12,repaid,furniture,1922,39,2 years,4,single,none,6 months,building society savings,37,none,own,1,1,1,,yes,unskilled resident,male
652,-35,24,repaid,car (new),2303,5,11 years,4,single,co-applicant,,real estate,45,none,own,1,1,1,,yes,skilled employee,male
653,90,36,delayed,car (new),8086,440,8 years,2,single,none,12 years,other,42,none,own,4,1,1,+2348477227,yes,mangement self-employed,male
654,,24,critical,car (used),2346,53,4 years,4,single,none,2 years,other,35,none,own,2,0,1,+2346642872,yes,skilled employee,male
655,-49,14,repaid,car (new),3973,16,,1,single,none,23 years,unknown/none,22,none,for free,1,0,1,,yes,skilled employee,male
656,104,12,repaid,car (new),888,17,11 years,4,single,none,5 years,other,41,bank,own,1,1,2,,yes,unskilled resident,male
657,,48,repaid,radio/tv,10222,,7 years,4,single,none,3 years,other,37,stores,own,1,0,1,+2341373912,yes,skilled employee,male
658,68,30,fully repaid,business,4221,17,2 years,2,,none,,other,28,none,own,2,0,1,,yes,skilled employee,female
659,30,18,critical,furniture,6361,81,10 years,2,single,none,,unknown/none,41,none,own,1,0,1,+2340203150,yes,skilled employee,male
660,925,12,repaid,radio/tv,1297,11,1 years,3,married,none,14 years,real estate,23,none,rent,1,0,1,,yes,skilled employee,male
661,-12,12,repaid,car (new),900,,2 years,4,married,none,3 months,other,23,none,own,1,1,1,,yes,skilled employee,male
662,,21,repaid,furniture,2241,18,18 years,4,single,none,11 months,real estate,50,none,own,2,0,1,,yes,skilled employee,male
663,65,6,delayed,furniture,1050,48,,4,single,none,,building society savings,35,stores,own,2,0,1,+2344707598,yes,mangement self-employed,male
664,975,6,critical,education,1047,84,3 years,2,,none,7 years,building society savings,50,none,own,1,0,1,,yes,unskilled resident,female
665,,24,critical,others,6314,77,,4,single,co-applicant,7 months,unknown/none,27,bank,own,2,0,1,+2349386102,yes,mangement self-employed,male
666,15,30,fully repaid this bank,furniture,3496,6088,1 years,4,single,none,10 months,other,34,stores,own,1,0,2,+2344509765,yes,skilled employee,male
667,,48,fully repaid this bank,business,3609,39,1 years,1,,none,,real estate,27,stores,own,1,0,1,,yes,skilled employee,female
668,-31,12,critical,car (new),4843,73,9 years,3,single,co-applicant,19 years,building society savings,43,none,rent,2,1,1,+2348905398,yes,skilled employee,male
669,276,30,critical,radio/tv,3017,60,19 years,4,single,none,21 years,building society savings,47,none,own,1,0,1,,yes,skilled employee,male
670,,24,critical,business,4139,316,2 years,3,single,none,4 years,building society savings,27,none,own,2,0,1,+2344778873,yes,unskilled resident,male
671,,36,repaid,business,5742,111,5 years,2,single,none,8 months,other,31,none,own,2,0,1,+2341837662,yes,skilled employee,male
672,,60,repaid,car (new),10366,43,19 years,2,single,none,15 years,building society savings,42,none,own,1,0,1,+2345198791,yes,mangement self-employed,male
673,,6,critical,car (new),2080,597,2 years,1,married,none,7 months,other,24,none,own,1,0,1,,yes,skilled employee,male
674,,21,delayed,business,2580,562,11 months,4,single,none,1 months,real estate,41,bank,own,1,1,2,,yes,unskilled resident,male
675,,30,critical,radio/tv,4530,19,5 years,4,,none,16 years,other,26,none,rent,1,0,1,+2343535426,yes,mangement self-employed,female
676,,24,critical,furniture,5150,53,15 years,4,single,none,22 years,other,33,none,own,1,0,1,+2348856362,yes,skilled employee,male
677,48,72,repaid,radio/tv,5595,486,2 years,2,married,none,0 months,other,24,none,own,1,1,1,,yes,skilled employee,male
678,-11,24,repaid,radio/tv,2384,61,11 years,4,single,none,23 years,real estate,64,bank,rent,1,0,1,,yes,unskilled resident,male
679,,18,repaid,radio/tv,1453,22,11 months,3,,none,,real estate,26,none,own,1,0,1,,yes,skilled employee,female
680,,6,repaid,education,1538,69,8 months,1,,none,11 months,unknown/none,56,none,own,1,0,1,,yes,skilled employee,female
681,,12,repaid,radio/tv,2279,,3 years,4,single,none,13 years,unknown/none,37,none,for free,1,0,1,+2345921222,yes,skilled employee,male
682,,15,delayed,radio/tv,1478,48,3 years,4,married,none,1 years,real estate,33,bank,own,2,0,1,,yes,skilled employee,male
683,,24,critical,radio/tv,5103,10,2 months,3,married,none,2 years,unknown/none,47,none,for free,3,0,1,+2340637574,yes,skilled employee,male
684,42,36,delayed,business,9857,371,5 years,1,single,none,3 years,building society savings,31,none,own,2,0,2,+2341950614,yes,unskilled resident,male
685,,60,repaid,car (new),6527,,1 years,4,single,none,8 years,unknown/none,34,none,for free,1,0,2,+2342224016,yes,skilled employee,male
686,992,10,critical,radio/tv,1347,,6 years,4,single,none,6 months,building society savings,27,none,own,2,0,1,+2341039016,yes,skilled employee,male
687,45,36,delayed,car (new),2862,253,18 years,4,single,none,1 years,unknown/none,30,none,for free,1,0,1,,yes,skilled employee,male
688,,9,repaid,radio/tv,2753,426,7 years,3,single,co-applicant,21 years,other,35,none,own,1,0,1,+2349920594,yes,skilled employee,male
689,-16,12,repaid,car (new),3651,19970,2 years,1,single,none,4 years,building society savings,31,none,own,1,0,2,,yes,skilled employee,male
690,-14,15,critical,furniture,975,10,3 years,2,divorced,none,2 years,building society savings,25,none,own,2,0,1,,yes,skilled employee,male
691,68,15,repaid,repairs,2631,463,3 years,3,,none,9 months,real estate,25,none,own,1,0,1,,yes,unskilled resident,female
692,51,24,repaid,radio/tv,2896,481,4 months,2,single,none,,other,29,none,own,1,0,1,,yes,skilled employee,male
693,-15,6,critical,car (new),4716,,10 months,1,single,none,3 years,real estate,44,none,own,2,0,2,,yes,unskilled resident,male
694,,24,repaid,radio/tv,2284,57,6 years,4,single,none,11 months,other,28,none,own,1,0,1,+2340959716,yes,skilled employee,male
695,,6,repaid,car (used),1236,661,3 years,2,single,none,13 years,building society savings,50,none,rent,1,0,1,,yes,skilled employee,male
696,151,12,repaid,radio/tv,1103,92,5 years,4,single,guarantor,2 years,real estate,29,none,own,2,0,1,,no,skilled employee,male
697,,12,critical,car (new),926,52,,1,,none,10 months,building society savings,38,none,own,1,0,1,,yes,unemployed non-resident,female
698,,18,critical,radio/tv,1800,85,1 years,4,single,none,2 months,other,24,none,own,2,0,1,,yes,skilled employee,male
699,746,15,repaid,education,1905,77,12 years,4,single,none,8 years,other,40,none,rent,1,0,1,+2340258551,yes,mangement self-employed,male
700,,12,repaid,furniture,1123,993,1 years,4,,none,17 years,other,29,none,rent,1,1,1,,yes,unskilled resident,female
701,-7,48,critical,car (used),6331,38,18 years,4,single,none,19 years,unknown/none,46,none,for free,2,1,1,+2346475345,yes,skilled employee,male
702,539,24,repaid,radio/tv,1377,144,12 years,4,,none,11 months,unknown/none,47,none,for free,1,0,1,+2348291499,yes,skilled employee,female
703,175,30,delayed,business,2503,283,8 years,4,single,none,8 months,building society savings,41,stores,own,2,0,1,,yes,skilled employee,male
704,91,27,repaid,business,2528,97,1 months,4,,none,,building society savings,32,none,own,1,0,2,+2345105680,yes,skilled employee,female
705,,15,repaid,car (new),5324,996,10 years,1,,none,8 years,unknown/none,35,none,for free,1,0,1,,yes,skilled employee,female
706,8,48,repaid,car (new),6560,102,6 years,3,single,none,5 months,building society savings,24,none,own,1,1,1,,yes,skilled employee,male
707,78,12,fully repaid,furniture,2969,98,3 months,4,,none,2 years,building society savings,25,none,rent,2,1,1,,yes,skilled employee,female
708,12,9,repaid,radio/tv,1206,54,14 years,4,,none,22 years,real estate,25,none,own,1,0,1,,yes,skilled employee,female
709,78,9,repaid,radio/tv,2118,4,1 years,2,single,none,6 months,real estate,37,none,own,1,0,2,,yes,unskilled resident,male
710,,18,critical,radio/tv,629,922,7 years,4,single,none,4 years,building society savings,32,bank,own,2,0,1,+2341260300,yes,mangement self-employed,male
711,-44,6,fully repaid this bank,education,1198,80,15 years,4,,none,8 years,unknown/none,35,none,for free,1,1,1,,yes,skilled employee,female
712,,21,repaid,car (used),2476,,19 years,4,single,none,12 years,real estate,46,none,own,1,0,1,+2347715157,yes,mangement self-employed,male
713,-43,9,critical,radio/tv,1138,35,1 years,4,single,none,11 years,real estate,25,none,own,2,0,1,,yes,unskilled resident,male
714,190,60,repaid,car (new),14027,53,5 years,4,single,none,1 months,unknown/none,27,none,own,1,1,1,+2345078382,yes,mangement self-employed,male
715,,30,critical,car (used),7596,,9 years,1,single,none,17 years,other,63,none,own,2,0,1,,yes,skilled employee,male
716,,30,critical,radio/tv,3077,,7 years,3,single,none,8 months,other,40,none,own,2,0,2,+2340692176,yes,skilled employee,male
717,,18,repaid,radio/tv,1505,0,2 years,4,single,none,3 months,unknown/none,32,none,for free,1,0,1,+2346435713,yes,mangement self-employed,male
718,935,24,critical,radio/tv,3148,,3 years,3,single,none,7 months,other,31,none,own,2,0,1,+2348912972,yes,skilled employee,male
719,41,20,fully repaid,car (used),6148,122,16 years,3,married,none,17 years,other,31,bank,own,2,0,1,+2340773798,yes,skilled employee,male
720,743,9,fully repaid,radio/tv,1337,62,7 months,4,single,none,0 months,other,34,none,own,2,1,1,+2341175759,yes,mangement self-employed,male
721,78,6,fully repaid this bank,education,433,18319,6 months,4,,none,9 months,building society savings,24,bank,rent,1,1,2,,yes,skilled employee,female
722,-25,12,repaid,car (new),1228,23,1 years,4,,none,0 months,real estate,24,none,own,1,1,1,,yes,unskilled resident,female
723,9,9,repaid,radio/tv,790,534,1 years,4,,none,1 years,real estate,66,none,own,1,0,1,,yes,unskilled resident,female
724,,27,repaid,car (new),2570,13,1 years,3,,none,4 years,real estate,21,none,rent,1,1,1,,yes,skilled employee,female
725,,6,critical,car (new),250,6002,2 years,2,,none,4 months,real estate,41,bank,own,2,0,1,,yes,unskilled resident,female
726,,15,critical,radio/tv,1316,999,3 years,2,married,none,4 months,building society savings,47,none,own,2,0,1,,yes,unskilled resident,male
727,-50,18,repaid,radio/tv,1882,44,2 years,4,,none,7 years,other,25,bank,rent,2,1,1,,yes,skilled employee,female
728,118,48,fully repaid this bank,business,6416,74,10 years,4,,none,1 years,unknown/none,59,none,rent,1,1,1,,yes,skilled employee,female
729,261,24,critical,business,1275,19295,1 years,2,divorced,none,14 years,real estate,36,none,own,2,0,1,+2342384479,yes,skilled employee,male
730,145,24,delayed,radio/tv,6403,44,6 months,1,single,none,7 months,other,33,none,own,1,0,1,,yes,skilled employee,male
731,-2,24,repaid,radio/tv,1987,43,2 years,2,single,none,15 years,real estate,21,none,rent,1,1,2,,yes,unskilled resident,male
732,184,8,repaid,radio/tv,760,69,5 years,4,,guarantor,9 months,real estate,44,none,own,1,0,1,,yes,unskilled resident,female
733,,24,repaid,car (used),2603,2619,3 years,2,,none,23 years,other,28,none,rent,1,0,1,+2346003899,yes,skilled employee,female
734,,4,critical,car (new),3380,13,5 years,1,,none,,real estate,37,none,own,1,0,2,,yes,skilled employee,female
735,17,36,fully repaid this bank,domestic appliances,3990,,10 months,3,,none,3 months,unknown/none,29,bank,own,1,0,1,,yes,unemployed non-resident,female
736,175,24,repaid,car (used),11560,1,3 years,1,,none,21 years,other,23,none,rent,2,1,1,,yes,mangement self-employed,female
737,-8,18,repaid,car (new),4380,157,2 years,3,single,none,18 years,other,35,none,own,1,0,2,+2342986272,yes,unskilled resident,male
738,,6,critical,car (new),6761,57,7 years,1,single,none,4 years,unknown/none,45,none,own,2,0,2,+2347088319,yes,mangement self-employed,male
739,10,30,fully repaid,business,4280,364,2 years,4,,none,19 years,other,26,none,rent,2,1,1,,yes,unskilled resident,female
740,-20,24,fully repaid this bank,car (new),2325,436,5 years,2,single,none,4 years,other,32,bank,own,1,0,1,,yes,skilled employee,male
741,189,10,fully repaid this bank,radio/tv,1048,77,1 years,4,single,none,7 years,real estate,23,stores,own,1,0,1,,yes,unskilled resident,male
742,,21,repaid,radio/tv,3160,,11 years,4,single,none,1 years,building society savings,41,none,own,1,0,1,+2347857141,yes,skilled employee,male
743,-9,24,fully repaid this bank,furniture,2483,940,2 years,4,single,none,6 years,real estate,22,stores,own,1,0,1,+2341563802,yes,skilled employee,male
744,-9,39,critical,furniture,14179,,4 years,4,single,none,16 years,building society savings,30,none,own,2,0,1,+2343831696,yes,mangement self-employed,male
745,-43,13,critical,business,1797,17,10 months,3,single,none,,building society savings,28,bank,own,2,0,1,,yes,unskilled resident,male
746,-32,15,repaid,car (new),2511,4,,1,,none,15 years,other,23,none,rent,1,0,1,,yes,skilled employee,female
747,-14,12,repaid,car (new),1274,75,1 months,3,,none,,real estate,37,none,own,1,1,1,,yes,unskilled resident,female
748,,21,repaid,car (used),5248,,1 years,1,single,none,4 years,other,26,none,own,1,0,1,,yes,skilled employee,male
749,,15,repaid,car (used),3029,94,6 years,2,single,none,0 months,other,33,none,own,1,0,1,,yes,skilled employee,male
750,-44,6,repaid,furniture,428,26,11 years,2,,none,,building society savings,49,bank,own,1,0,1,+2342566376,yes,skilled employee,female
751,-5,18,repaid,car (new),976,24,10 months,1,,none,2 months,other,23,none,own,1,1,1,,yes,unskilled resident,female
752,145,12,repaid,business,841,464,5 years,2,,none,8 years,real estate,23,none,rent,1,0,1,,yes,unskilled resident,female
753,,30,critical,radio/tv,5771,59,6 years,4,,none,2 months,other,25,none,own,2,0,1,,yes,skilled employee,female
754,,12,delayed,repairs,1555,19749,13 years,4,single,none,13 years,unknown/none,55,none,for free,2,1,2,,yes,skilled employee,male
755,-38,24,repaid,car (new),1285,,7 years,4,,none,12 years,unknown/none,32,none,rent,1,1,1,,yes,skilled employee,female
756,641,6,critical,car (new),1299,40,1 years,1,single,none,,real estate,74,none,own,3,0,2,,no,unemployed non-resident,male
757,997,15,critical,radio/tv,1271,,2 years,3,single,none,6 years,unknown/none,39,none,for free,2,1,1,+2347430636,yes,skilled employee,male
758,,24,repaid,car (new),1393,15,3 years,2,single,guarantor,1 months,real estate,31,none,own,1,0,1,+2345176203,yes,skilled employee,male
759,-37,12,critical,car (new),691,64,19 years,4,single,none,2 years,building society savings,35,none,own,2,1,1,,yes,skilled employee,male
760,,15,critical,car (new),5045,,11 years,1,,none,10 years,other,59,none,own,1,0,1,+2345824531,yes,skilled employee,female
761,-40,18,critical,furniture,2124,13,1 years,4,,none,19 years,real estate,24,none,rent,2,1,1,,yes,skilled employee,female
762,-27,12,repaid,radio/tv,2214,76,1 years,4,single,none,4 years,building society savings,24,none,own,1,0,1,,yes,unskilled resident,male
763,,21,critical,car (new),12680,,11 years,4,single,none,9 years,unknown/none,30,none,for free,1,1,1,+2340557600,yes,mangement self-employed,male
764,,24,critical,car (new),2463,237,7 years,4,married,none,2 years,building society savings,27,none,own,2,0,1,+2345137343,yes,skilled employee,male
765,40,12,repaid,radio/tv,1155,80,9 years,3,married,guarantor,4 years,real estate,40,bank,own,2,0,1,,yes,unskilled resident,male
766,-40,30,repaid,furniture,3108,90,10 months,2,divorced,none,10 years,building society savings,31,none,own,1,1,1,,yes,unskilled resident,male
767,,10,repaid,car (used),2901,,6 months,1,,none,20 years,real estate,31,none,rent,1,0,1,,yes,skilled employee,female
768,57,12,critical,furniture,3617,97,18 years,1,single,none,23 years,other,28,none,rent,3,0,1,+2347515144,yes,skilled employee,male
769,,12,critical,radio/tv,1655,91,15 years,2,single,none,22 years,real estate,63,none,own,2,0,1,+2349710648,yes,unskilled resident,male
770,-31,24,repaid,car (used),2812,,18 years,2,,none,24 years,real estate,26,none,rent,1,0,1,,yes,skilled employee,female
771,-11,36,critical,education,8065,5,3 years,3,,none,9 months,unknown/none,25,none,own,2,1,1,+2345682721,yes,mangement self-employed,female
772,,21,critical,car (used),3275,87,18 years,1,single,none,13 years,other,36,none,own,1,0,1,+2340355297,yes,mangement self-employed,male
773,,24,critical,radio/tv,2223,410,19 years,4,single,none,9 years,building society savings,52,bank,own,2,0,1,,yes,skilled employee,male
774,641,12,critical,car (new),1480,707,,2,single,none,18 years,unknown/none,66,bank,for free,3,0,1,,yes,unemployed non-resident,male
775,-1,24,repaid,car (new),1371,,1 years,4,,none,9 years,real estate,25,none,rent,1,1,1,,yes,skilled employee,female
776,,36,critical,car (new),3535,78,6 years,4,single,none,18 years,other,37,none,own,2,0,1,+2348751129,yes,skilled employee,male
777,-15,18,repaid,radio/tv,3509,21,6 years,4,,guarantor,,real estate,25,none,own,1,0,1,,yes,skilled employee,female
778,,36,critical,car (used),5711,18353,8 years,4,single,none,8 months,other,38,none,own,2,0,1,+2343142198,yes,mangement self-employed,male
779,20,18,repaid,repairs,3872,36,,2,,none,10 years,other,67,none,own,1,0,1,+2347199784,yes,skilled employee,female
780,35,39,critical,radio/tv,4933,55,6 years,2,single,guarantor,0 months,real estate,25,none,own,2,1,1,,yes,skilled employee,male
781,,24,critical,car (new),1940,4619,15 years,4,single,none,24 years,real estate,60,none,own,1,0,1,+2343419840,yes,skilled employee,male
782,162,12,fully repaid,retraining,1410,61,1 years,2,single,none,4 months,real estate,31,none,own,1,0,1,+2343536493,yes,unskilled resident,male
783,134,12,repaid,car (new),836,400,4 months,4,,none,3 months,building society savings,23,bank,own,1,1,1,,yes,unskilled resident,female
784,109,20,repaid,car (used),6468,,,1,divorced,none,12 years,real estate,60,none,own,1,0,1,+2341227482,yes,mangement self-employed,male
785,43,18,repaid,business,1941,12765,1 years,4,single,none,11 months,building society savings,35,none,own,1,0,1,+2343203612,yes,unskilled resident,male
786,,22,repaid,radio/tv,2675,554,10 years,3,single,none,14 years,other,40,none,own,1,0,1,,yes,skilled employee,male
787,,48,critical,car (used),2751,,13 years,4,single,none,3 years,other,38,none,own,2,0,2,+2342214627,yes,skilled employee,male
788,142,48,delayed,education,6224,79,10 years,4,single,none,22 years,unknown/none,50,none,for free,1,1,1,,yes,skilled employee,male
789,-18,40,critical,education,5998,76,3 years,4,single,none,2 years,unknown/none,27,bank,own,1,1,1,+2346512744,yes,skilled employee,male
790,103,21,repaid,business,1188,86,10 years,2,,none,13 years,building society savings,39,none,own,1,1,2,,yes,skilled employee,female
791,,24,repaid,car (used),6313,,11 years,3,single,none,10 years,other,41,none,own,1,0,2,+2348285680,yes,mangement self-employed,male
792,,6,critical,furniture,1221,,2 years,1,married,none,2 months,building society savings,27,none,own,2,0,1,,yes,skilled employee,male
793,512,24,repaid,furniture,2892,61,12 years,3,divorced,none,12 years,unknown/none,51,none,for free,1,0,1,,yes,skilled employee,male
794,,24,repaid,furniture,3062,880,16 years,4,single,none,1 years,unknown/none,32,none,rent,1,0,1,+2340826273,yes,skilled employee,male
795,,9,repaid,furniture,2301,279,10 months,2,,none,18 years,building society savings,22,none,rent,1,0,1,,yes,skilled employee,female
796,-36,18,repaid,car (used),7511,,7 years,1,single,none,21 years,building society savings,51,none,for free,1,1,2,+2348109143,yes,skilled employee,male
797,,12,critical,furniture,1258,4,5 months,2,,none,17 years,building society savings,22,none,rent,2,0,1,,yes,unskilled resident,female
798,,24,delayed,car (new),717,,9 years,4,married,none,24 years,other,54,none,own,2,0,1,+2349683992,yes,skilled employee,male
799,98,9,repaid,car (new),1549,,6 months,4,single,none,3 months,real estate,35,none,own,1,0,1,,yes,unemployed non-resident,male
800,,24,critical,education,1597,23,10 years,4,single,none,7 years,unknown/none,54,none,for free,2,0,2,,yes,skilled employee,male
801,32,18,critical,radio/tv,1795,79,8 years,3,,guarantor,11 years,real estate,48,bank,rent,2,0,1,+2341042691,yes,unskilled resident,female
802,-23,20,critical,furniture,4272,30,13 years,1,,none,21 years,building society savings,24,none,own,2,0,1,,yes,skilled employee,female
803,,12,critical,radio/tv,976,,11 years,4,single,none,21 years,other,35,none,own,2,0,1,,yes,skilled employee,male
804,3,12,repaid,car (new),7472,,,1,,none,10 months,real estate,24,none,rent,1,0,1,,yes,unemployed non-resident,female
805,-4,36,repaid,car (new),9271,40,6 years,2,single,none,,other,24,none,own,1,1,1,+2340770930,yes,skilled employee,male
806,99,6,repaid,radio/tv,590,14,0 months,3,married,none,1 years,real estate,26,none,own,1,0,1,,no,unskilled resident,male
807,,12,critical,radio/tv,930,,8 years,4,single,none,10 years,real estate,65,none,own,4,0,1,,yes,skilled employee,male
808,188,42,fully repaid this bank,car (used),9283,31,,1,single,none,9 months,unknown/none,55,bank,for free,1,0,1,+2347071312,yes,mangement self-employed,male
809,119,15,fully repaid,car (new),1778,87,4 months,2,,none,,real estate,26,none,rent,2,1,1,,yes,unemployed non-resident,female
810,119,8,repaid,business,907,6,6 months,3,married,none,0 months,real estate,26,none,own,1,0,1,+2348175698,yes,skilled employee,male
811,109,6,repaid,radio/tv,484,94,7 years,3,married,guarantor,3 years,real estate,28,bank,own,1,0,1,,yes,unskilled resident,male
812,-13,36,critical,car (used),9629,34,6 years,4,single,none,15 years,other,24,none,own,2,1,1,+2340698546,yes,skilled employee,male
813,-16,48,repaid,domestic appliances,3051,29,2 years,3,single,none,16 years,other,54,none,own,1,1,1,,yes,skilled employee,male
814,-9,48,repaid,car (new),3931,39,4 years,4,single,none,5 years,unknown/none,46,none,for free,1,1,2,,yes,skilled employee,male
815,192,36,delayed,car (new),7432,89,2 years,2,,none,6 months,building society savings,54,none,rent,1,0,1,,yes,skilled employee,female
816,,6,repaid,domestic appliances,1338,851,1 years,1,divorced,none,15 years,real estate,62,none,own,1,0,1,,yes,skilled employee,male
817,,6,critical,radio/tv,1554,45,6 years,1,,none,3 months,other,24,none,rent,2,0,1,+2349540412,yes,skilled employee,female
818,-44,36,repaid,others,15857,87,,2,divorced,co-applicant,3 years,other,43,none,own,1,0,1,,yes,mangement self-employed,male
819,-8,18,repaid,radio/tv,1345,25,1 years,4,married,none,2 years,real estate,26,bank,own,1,1,1,,yes,skilled employee,male
820,,12,repaid,car (new),1101,65,1 years,3,married,none,2 months,real estate,27,none,own,2,0,1,+2342735105,yes,skilled employee,male
821,999,12,repaid,radio/tv,3016,64,3 years,3,married,none,,other,24,none,own,1,0,1,,yes,skilled employee,male
822,-27,36,repaid,furniture,2712,26,11 years,2,single,none,10 months,building society savings,41,bank,own,1,1,2,,yes,skilled employee,male
823,-19,8,critical,car (new),731,51,9 years,4,single,none,14 years,real estate,47,none,own,2,0,1,,yes,unskilled resident,male
824,,18,critical,furniture,3780,37,4 months,3,divorced,none,8 months,other,35,none,own,2,0,1,+2342641371,yes,mangement self-employed,male
825,-36,21,critical,car (new),1602,0,12 years,4,married,none,1 years,other,30,none,own,2,0,1,+2344342802,yes,skilled employee,male
826,-32,18,critical,car (new),3966,5,9 years,1,,none,23 years,real estate,33,bank,rent,3,1,1,+2341158575,yes,skilled employee,female
827,,18,fully repaid,business,4165,75,1 years,2,single,none,6 months,other,36,stores,own,2,1,2,,yes,skilled employee,male
828,-30,36,repaid,car (used),8335,,8 years,3,single,none,12 years,unknown/none,47,none,for free,1,1,1,,yes,skilled employee,male
829,10,48,delayed,business,6681,,1 years,4,single,none,17 years,unknown/none,38,none,for free,1,0,2,+2342369885,yes,skilled employee,male
830,,24,delayed,business,2375,980,1 years,4,single,none,6 months,other,44,none,own,2,0,2,+2348902034,yes,skilled employee,male
831,-17,18,repaid,car (new),1216,47,11 months,4,,none,1 years,other,23,none,rent,1,1,1,+2345232464,yes,skilled employee,female
832,-43,45,fully repaid,business,11816,67,12 years,2,single,none,23 years,other,29,none,rent,2,1,1,,yes,skilled employee,male
833,16,24,repaid,radio/tv,5084,,19 years,2,,none,9 years,other,42,none,own,1,0,1,+2345609769,yes,skilled employee,female
834,630,15,repaid,radio/tv,2327,38,2 months,2,,none,4 years,real estate,25,none,own,1,1,1,,yes,unskilled resident,female
835,-39,12,fully repaid,car (new),1082,0,3 years,4,single,none,11 years,other,48,bank,own,2,1,1,,yes,skilled employee,male
836,,12,repaid,radio/tv,886,,2 years,4,,none,3 months,other,21,none,own,1,0,1,,yes,skilled employee,female
837,,4,repaid,furniture,601,84,8 months,1,,none,2 years,real estate,23,none,rent,1,0,2,,yes,unskilled resident,female
838,-39,24,critical,car (used),2957,11,18 years,4,single,none,6 years,building society savings,63,none,own,2,0,1,+2343800298,yes,skilled employee,male
839,,24,critical,radio/tv,2611,12,8 years,4,married,co-applicant,1 years,real estate,46,none,own,2,0,1,,yes,skilled employee,male
840,-47,36,repaid,furniture,5179,73,5 years,4,single,none,3 months,building society savings,29,none,own,1,1,1,,yes,skilled employee,male
841,,21,delayed,car (used),2993,18,2 years,3,single,none,4 months,real estate,28,stores,own,2,0,1,,yes,unskilled resident,male
842,,18,repaid,repairs,1943,85,3 months,4,,none,7 years,real estate,23,none,own,1,1,1,,yes,skilled employee,female
843,,24,fully repaid this bank,business,1559,80,5 years,4,single,none,11 years,other,50,bank,own,1,0,1,+2348899873,yes,skilled employee,male
844,,18,repaid,furniture,3422,80,15 years,4,single,none,20 years,building society savings,47,bank,own,3,0,2,+2346517649,yes,skilled employee,male
845,127,21,repaid,furniture,3976,,6 years,2,single,none,2 years,other,35,none,own,1,0,1,+2344710066,yes,skilled employee,male
846,,18,repaid,car (new),6761,,2 years,2,single,none,15 years,other,68,none,rent,2,1,1,,yes,skilled employee,male
847,,24,repaid,car (new),1249,47,2 months,4,married,none,11 months,real estate,28,none,own,1,0,1,,yes,skilled employee,male
848,-49,9,repaid,radio/tv,1364,13,6 years,3,single,none,19 years,real estate,59,none,own,1,0,1,,yes,skilled employee,male
849,-7,12,repaid,radio/tv,709,3,10 years,4,single,none,13 years,real estate,57,stores,own,1,1,1,,yes,unskilled resident,male
850,-18,20,critical,car (new),2235,4,3 years,4,married,guarantor,7 months,building society savings,33,bank,rent,2,1,1,,no,skilled employee,male
851,,24,critical,car (used),4042,,7 years,3,single,none,6 years,building society savings,43,none,own,2,0,1,+2349175366,yes,skilled employee,male
852,,15,critical,radio/tv,1471,67,2 years,4,single,none,17 years,unknown/none,35,none,for free,2,0,1,+2342437915,yes,skilled employee,male
853,-45,18,fully repaid this bank,car (new),1442,83,4 years,4,single,none,6 years,unknown/none,32,none,for free,2,1,2,,yes,unskilled resident,male
854,,36,delayed,car (new),10875,21,12 years,2,single,none,11 months,other,45,none,own,2,0,2,+2346675790,yes,skilled employee,male
855,,24,repaid,car (new),1474,233,8 months,4,married,none,3 years,real estate,33,none,own,1,0,1,+2344483585,yes,skilled employee,male
856,,10,repaid,retraining,894,,6 years,4,,none,3 years,building society savings,40,none,own,1,0,1,+2348130509,yes,skilled employee,female
857,,15,critical,furniture,3343,3,3 years,4,single,none,5 months,unknown/none,28,none,for free,1,0,1,+2349673264,yes,skilled employee,male
858,-46,15,repaid,car (new),3959,36,1 years,3,,none,0 months,building society savings,29,none,own,1,1,1,+2343472007,yes,skilled employee,female
859,,9,repaid,car (new),3577,303,3 years,1,single,guarantor,2 months,real estate,26,none,rent,1,0,2,,no,skilled employee,male
860,,24,critical,car (used),5804,19972,1 years,4,single,none,10 months,real estate,27,none,own,2,0,1,,yes,skilled employee,male
861,,18,delayed,business,2169,76,3 years,4,married,none,6 months,other,28,none,own,1,1,1,+2347078400,yes,skilled employee,male
862,-46,24,repaid,radio/tv,2439,78,6 months,4,,none,19 years,real estate,35,none,own,1,1,1,+2343576824,yes,skilled employee,female
863,,27,critical,furniture,4526,11007,4 months,4,single,none,9 months,real estate,32,stores,own,2,0,2,+2344127579,yes,unskilled resident,male
864,,10,repaid,furniture,2210,2,3 years,2,single,none,2 months,real estate,25,bank,rent,1,1,1,,yes,unskilled resident,male
